Title,Location,Price,Area
                        Apartment Gerard Doustraat                            ,            1073 XB Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",62 m²
                        Apartment Reguliersgracht 78 B                            ,            1017 LV Amsterdam (Grachtengordel-Zuid)        ,"                €5,500 per month            ",141 m²
                        Apartment Hazenstraat 29 1                            ,            1016 SM Amsterdam (Jordaan)        ,"                €2,600 per month            ",90 m²
                        Apartment Ringdijk                            ,            1097 AB Amsterdam (Frankendael)        ,"                €2,250 per month            ",90 m²
                        Apartment Warmoesstraat                            ,            1012 HX Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,350 per month            ",80 m²
                        Apartment Roetersstraat 2 E                            ,            1018 WC Amsterdam (Weesperbuurt/Plantage)        ,"                €2,250 per month            ",55 m²
                        Apartment Waverstraat                            ,            1079 VJ Amsterdam (Rijnbuurt)        ,"                €1,600 per month            ",53 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–F’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,950 - €2,000 per month            ",77 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–I LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €2,790 - €2,850 per month            ",107 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–I’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €2,790 - €2,850 per month            ",107 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–G LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,900 - €1,925 per month            ",74 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–J LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,575 - €1,650 per month            ",62 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H-A LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,650 - €1,675 per month            ",68 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–A’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,650 - €1,675 per month            ",68 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–E LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,550 - €1,675 per month            ",61 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–D’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            ",49 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–G’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,900 - €1,925 per month            ",74 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–B LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            ",49 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–F LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,950 - €2,000 per month            ",77 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–D LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            ",49 m²
                        Project: Q-Residences | Quartz - APPARTEMENT H–H LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,575 - €1,700 per month            ",64 m²
                        Apartment Overtoom                            ,            1054 HX Amsterdam (Helmersbuurt)        ,"                €2,500 per month            ",80 m²
                        Apartment Wodanstraat                            ,            1076 CD Amsterdam (Stadionbuurt)        ,"                €1,900 per month            ",67 m²
                        Apartment Reinier Claeszenstraat                            ,            1056 WD Amsterdam (Geuzenbuurt)        ,"                €2,100 per month            ",89 m²
                        Apartment Krommertstraat                            ,            1056 TS Amsterdam (Geuzenbuurt)        ,"                €2,650 per month            ",131 m²
                        House Randwijkhof                            ,            1106 JZ Amsterdam (Holendrecht/Reigersbos)        ,"                €1,950 per month            ",94 m²
                        Apartment Churchill-laan 143 hs                            ,            1078 DS Amsterdam (Scheldebuurt)        ,"                €2,950 per month            ",110 m²
                        Apartment Hoofdweg                            ,            1056 DD Amsterdam (Van Galenbuurt)        ,"                €1,600 per month            ",60 m²
                        Apartment Buiten Vissersstraat                            ,            1013 GB Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",52 m²
                        Apartment Pieter Cornelisz. Hooftstraat                            ,            1071 CA Amsterdam (Museumkwartier)        ,"                €2,750 per month            ",80 m²
                        Apartment Emmalaan                            ,            1075 AT Amsterdam (Willemspark)        ,"                €3,250 per month            ",90 m²
                        Apartment Van Suchtelen van de Haarestraat 26 D                            ,            1068 GV Amsterdam (Osdorp-Oost)        ,"                €2,450 per month            ",101 m²
